Make,Model,Engine_HP,Engine_Size_L,Cylinders,Transmission,Fuel_Type,Driven_Wheels,Number_of_Doors,Vehicle_Size,Vehicle_Style,Fuel_Consumption_Comb_L_100km,MSRP
ACURA,CL,236.7,3,6,AUTOMATIC,Z,front wheel drive,2,Midsize,Coupe,13.8,29818.9
ACURA,ILX,191.4,2.3,4,AUTOMATED_MANUAL,Z,front wheel drive,4,Compact,Sedan,8.6,30712.5
ACURA,ILX HYBRID,111,1.5,4,AUTOMATIC,Z,front wheel drive,4,Compact,Sedan,6,31750
ACURA,INTEGRA,152.1,2,4,MANUAL,X,front wheel drive,2.9,Compact,2dr Hatchback,10.8,11768.6
ACURA,LEGEND,215,3,6,MANUAL,X,front wheel drive,3.2,Midsize,Sedan,14.7,2143.5
ACURA,MDX,290,3,6,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,12.4,50332.1
ACURA,NSX,331.4,3.5,6,AUTOMATIC,X,rear wheel drive,2,Compact,Coupe,11,102400
ACURA,RDX,278,3,6,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,12.1,39232.5
ACURA,RL,300,3,6,AUTOMATIC,Z,all wheel drive,4,Midsize,Sedan,14.1,51340
ACURA,RLX,321.2,3.5,6,AUTOMATIC,Z,front wheel drive,4,Midsize,Sedan,10,56491.7
ACURA,RSX,167.4,2,4,MANUAL,X,front wheel drive,2,Compact,2dr Hatchback,10.5,21689
ACURA,SLX,202.5,3,6,AUTOMATIC,X,four wheel drive,4,Midsize,4dr SUV,18.1,2658.8
ACURA,TL,293,3.5,6,AUTOMATIC,Z,all wheel drive,4,Midsize,Sedan,10.1,40876.7
ACURA,TLX,266,2.6,5.4,AUTOMATIC,Z,front wheel drive,4,Midsize,Sedan,8.6,38730
ACURA,TSX,220.8,2.8,4.5,AUTOMATIC,Z,front wheel drive,4,Midsize,Sedan,9.8,33284.1
ACURA,TSX SPORT WAGON,201,3,4,AUTOMATIC,Z,front wheel drive,4,Midsize,Wagon,10.7,33560
ACURA,VIGOR,176,3,5,MANUAL,X,front wheel drive,4,Midsize,Sedan,13.1,2000
ACURA,ZDX,300,3,6,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr Hatchback,14.7,51062.9
ALFA ROMEO,4C,237,1.8,4,AUTOMATED_MANUAL,Z,rear wheel drive,2,Compact,Coupe,8.4,61600
ASTON MARTIN,DB7,423.8,2,12,MANUAL,Z,rear wheel drive,2,Compact,Coupe,23.5,151550
ASTON MARTIN,DB9,510,5.9,12,AUTOMATIC,Z,rear wheel drive,2,Midsize,Convertible,15.6,196522.5
ASTON MARTIN,DB9 GT,540,5.9,12,AUTOMATIC,Z,rear wheel drive,2,Midsize,Coupe,15.6,215602.3
ASTON MARTIN,DBS,510,3,12,AUTOMATIC,Z,rear wheel drive,2,Midsize,Convertible,20.5,281573
ASTON MARTIN,RAPIDE,470,5.9,12,AUTOMATIC,Z,rear wheel drive,4,Large,Sedan,15.6,210122.5
ASTON MARTIN,RAPIDE S,551.3,6,12,AUTOMATIC,Z,rear wheel drive,4,Large,Sedan,14.2,202748.3
ASTON MARTIN,V12 VANQUISH,490,2,12,AUTOMATED_MANUAL,Z,rear wheel drive,2,Compact,Coupe,23.1,245880
ASTON MARTIN,V12 VANTAGE,510,2,12,MANUAL,Z,rear wheel drive,2,Compact,Coupe,21.4,187565
ASTON MARTIN,V12 VANTAGE S,565,6,12,AUTOMATED_MANUAL,Z,rear wheel drive,2,Compact,Coupe,17.2,188095
ASTON MARTIN,V8 VANTAGE,428.8,4.7,8,AUTOMATED_MANUAL,Z,rear wheel drive,2,Compact,Convertible,15.1,129535
ASTON MARTIN,VANQUISH,567.2,6,12,AUTOMATIC,Z,rear wheel drive,2,Midsize,Convertible,14.9,297083.8
ASTON MARTIN,VIRAGE,490,3,12,AUTOMATIC,Z,rear wheel drive,2,Midsize,Convertible,18.1,215795
AUDI,100,172,3,6,MANUAL,X,front wheel drive,4,Midsize,Sedan,14.3,2000
AUDI,200,180.3,3,5,MANUAL,X,all wheel drive,4,Midsize,Sedan,15,2000
AUDI,80,126.3,2,4.8,MANUAL,X,all wheel drive,4,Compact,Sedan,13.7,2000
AUDI,90,172,2,6,MANUAL,X,front wheel drive,4,Compact,Sedan,13.7,2000
AUDI,A3,190.3,1.9,4,AUTOMATED_MANUAL,Z,front wheel drive,3.1,Compact,Sedan,8.2,38652.1
AUDI,A4,225.4,2,4,AUTOMATED_MANUAL,Z,all wheel drive,4,Midsize,Sedan,8.4,39752
AUDI,A4 ALLROAD,252,3,4,AUTOMATED_MANUAL,Z,all wheel drive,4,Midsize,Wagon,10.2,47466.7
AUDI,A5,220,3,4,AUTOMATIC,Z,all wheel drive,2,Midsize,Coupe,11.6,44300
AUDI,A6,267.3,3,5,AUTOMATIC,Z,all wheel drive,4,Midsize,Sedan,10.5,54673.9
AUDI,A7,291.2,4.4,6,AUTOMATIC,Z,all wheel drive,4,Large,Sedan,10.9,69895
AUDI,A8,384.3,3.5,7.7,AUTOMATIC,Z,all wheel drive,4,Large,Sedan,11,94850
AUDI,ALLROAD,220,3,4,AUTOMATIC,Z,all wheel drive,4,Midsize,Wagon,11.4,44675
AUDI,ALLROAD QUATTRO,262.5,2,6.5,AUTOMATIC,X,all wheel drive,4,Midsize,Wagon,10.5,41943.8
AUDI,CABRIOLET,172,2,6,AUTOMATIC,X,front wheel drive,2,Compact,Convertible,13.8,2868.3
AUDI,COUPE,164,2,5,MANUAL,X,all wheel drive,2,Compact,2dr Hatchback,15.2,2000
AUDI,Q3,200,2,4,AUTOMATIC,Z,all wheel drive,4,Compact,4dr SUV,10.2,36292.9
AUDI,Q5,244.1,2.3,5.2,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,10.5,48255
AUDI,Q7,281.7,2.7,6,AUTOMATIC,Z,all wheel drive,4,Large,4dr SUV,11.7,57373.3
AUDI,R8,506.4,4.8,9.4,AUTOMATED_MANUAL,Z,all wheel drive,2,Compact,Coupe,15.4,158819.6
AUDI,RS 4,420,2,8,MANUAL,Z,all wheel drive,3.3,Compact,Sedan,18.5,71603.3
AUDI,RS 5,450,3.8,8,AUTOMATED_MANUAL,Z,all wheel drive,2,Midsize,Convertible,12.4,74066.7
AUDI,RS 6,450,3,8,AUTOMATIC,Z,all wheel drive,4,Midsize,Sedan,16.8,82700
AUDI,RS 7,560,4,8,AUTOMATIC,Z,all wheel drive,4,Large,Sedan,13.2,108700
AUDI,S3,292,2,4,AUTOMATED_MANUAL,Z,all wheel drive,4,Compact,Sedan,9.5,45091.7
AUDI,S4,333,3,6,AUTOMATED_MANUAL,Z,all wheel drive,4,Midsize,Sedan,11,52150
AUDI,S5,333,3,6,AUTOMATED_MANUAL,Z,all wheel drive,2,Midsize,Coupe,11,58183.3
AUDI,S6,444,3.8,8,AUTOMATED_MANUAL,Z,all wheel drive,4,Midsize,Sedan,11.8,73340
AUDI,S7,442.5,3.8,8,AUTOMATED_MANUAL,Z,all wheel drive,4,Large,Sedan,11.8,82050
AUDI,S8,562.5,4,8,AUTOMATIC,Z,all wheel drive,4,Large,Sedan,13.2,115150
AUDI,SQ5,354,3,6,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,12,56850
AUDI,TT,217,2,4,AUTOMATED_MANUAL,Z,all wheel drive,2,Compact,Convertible,10.4,43916.7
AUDI,TT RS,360,2.5,5,MANUAL,Z,all wheel drive,2,Compact,Coupe,10.4,57025
AUDI,TTS,278.5,2,4,AUTOMATED_MANUAL,Z,all wheel drive,2,Compact,Coupe,10.5,51200
AUDI,V8,276,3,8,AUTOMATIC,X,all wheel drive,4,Midsize,Sedan,18.1,2129.3
BENTLEY,ARNAGE,470,4.4,8,AUTOMATIC,Z,rear wheel drive,4,Large,Sedan,24,246890
BENTLEY,AZURE,450,4.4,8,AUTOMATIC,Z,rear wheel drive,2,Large,Convertible,25.3,331656.7
BENTLEY,AZURE T,500,4.4,8,AUTOMATIC,Z,rear wheel drive,2,Large,Convertible,26.1,363000
BENTLEY,BROOKLANDS,530,4.4,8,AUTOMATIC,Z,rear wheel drive,2,Large,Coupe,24.8,340990
BENTLEY,CONTINENTAL,416.7,4.4,8,AUTOMATIC,Z,rear wheel drive,2,Large,Coupe,23.5,309596.7
BENTLEY,CONTINENTAL FLYING SPUR,552,4.4,12,AUTOMATIC,Z,all wheel drive,4,Large,Sedan,21.4,183200
BENTLEY,CONTINENTAL FLYING SPUR SPEED,600,4.4,12,AUTOMATIC,Z,all wheel drive,4,Large,Sedan,23.5,208600
BENTLEY,CONTINENTAL GT,551.3,5,9.9,AUTOMATIC,Z,all wheel drive,2,Midsize,Coupe,14.2,215978.9
BENTLEY,CONTINENTAL GT SPEED,608,3,12,AUTOMATIC,Z,all wheel drive,2,Midsize,Coupe,20.5,212350
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,626,6,12,AUTOMATIC,Z,all wheel drive,2,Midsize,Convertible,16.5,238700
BENTLEY,CONTINENTAL GT3-R,572,4,8,AUTOMATIC,Z,all wheel drive,2,Midsize,Coupe,14.2,337000
BENTLEY,CONTINENTAL GTC,537,5,10,AUTOMATIC,Z,all wheel drive,2,Midsize,Convertible,15.4,207816.7
BENTLEY,CONTINENTAL GTC SPEED,600,3,12,AUTOMATIC,Z,all wheel drive,2,Midsize,Convertible,23.5,233750
BENTLEY,CONTINENTAL SUPERSPORTS,621,6,12,AUTOMATIC,Z,all wheel drive,2,Midsize,Coupe,16.6,267000
BENTLEY,CONTINENTAL SUPERSPORTS CONVERTIBLE,621,3,12,AUTOMATIC,Z,all wheel drive,2,Midsize,Convertible,19.6,280400
BENTLEY,FLYING SPUR,569.6,5.2,10.4,AUTOMATIC,Z,all wheel drive,4,Large,Sedan,15.5,206940
BENTLEY,MULSANNE,511.2,6.8,8,AUTOMATIC,Z,rear wheel drive,4,Large,Sedan,18.2,310475
BENTLEY,SUPERSPORTS CONVERTIBLE ISR,631,3,12,AUTOMATIC,Z,all wheel drive,2,Midsize,Convertible,19.6,291900
BMW,1 SERIES,267.5,2,6,MANUAL,Z,rear wheel drive,2,Compact,Convertible,12.5,37853.1
BMW,1 SERIES M,335,2,6,MANUAL,Z,rear wheel drive,2,Compact,Coupe,12.4,46135
BMW,2 SERIES,283.1,2,4.9,AUTOMATIC,Z,rear wheel drive,2,Compact,Coupe,10.8,41697.1
BMW,3 SERIES,230,3,4.4,AUTOMATIC,Z,all wheel drive,4,Midsize,Sedan,9.5,40897.1
BMW,3 SERIES GRAN TURISMO,269.7,3,4.9,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr Hatchback,11,45250
BMW,4 SERIES,268.7,3,4.8,AUTOMATIC,Z,rear wheel drive,2,Midsize,Coupe,10.9,48984.5
BMW,4 SERIES GRAN COUPE,269.7,3,4.9,AUTOMATIC,Z,all wheel drive,4,Midsize,Sedan,10.8,44750
BMW,5 SERIES,310.1,4.4,6,AUTOMATIC,Z,all wheel drive,4,Large,Sedan,11.1,58306.2
BMW,5 SERIES GRAN TURISMO,358,4.4,6.8,AUTOMATIC,Z,all wheel drive,4,Large,4dr Hatchback,13.5,65740
BMW,6 SERIES,380,3,7,AUTOMATIC,Z,all wheel drive,2,Midsize,Convertible,12.9,87933.3
BMW,6 SERIES GRAN COUPE,380,4.4,7,AUTOMATIC,Z,all wheel drive,4,Large,Sedan,13.1,86383.3
BMW,7 SERIES,390.9,4.4,7.4,AUTOMATIC,Z,rear wheel drive,4,Large,Sedan,13.2,90662.5
BMW,8 SERIES,312,3,10.3,AUTOMATIC,X,rear wheel drive,2,Midsize,Coupe,18.5,6583
BMW,ACTIVEHYBRID 5,335,3,6,AUTOMATIC,Z,rear wheel drive,4,Large,Sedan,9.4,61800
BMW,ACTIVEHYBRID 7,345,4.4,6,AUTOMATIC,Z,rear wheel drive,4,Large,Sedan,10.7,84300
BMW,ACTIVEHYBRID X6,480,3,8,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,13.8,88900
BMW,ALPINA,375,2,8,AUTOMATIC,Z,rear wheel drive,2,Compact,Convertible,18.1,136900
BMW,ALPINA B6 GRAN COUPE,580,4.4,8,AUTOMATIC,Z,all wheel drive,4,Large,Sedan,15.4,120666.7
BMW,ALPINA B7,546.7,4.4,8,AUTOMATIC,Z,all wheel drive,4,Large,Sedan,14.7,132333.3
BMW,I3,170,2,0,DIRECT_DRIVE,X,rear wheel drive,4,Compact,4dr Hatchback,1.7,42700
BMW,M,321,2,6,MANUAL,Z,rear wheel drive,2,Compact,Coupe,15.7,47314
BMW,M2,365,3,6,MANUAL,Z,rear wheel drive,2,Compact,Coupe,10.9,51700
BMW,M3,425,3,6,MANUAL,Z,rear wheel drive,4,Midsize,Sedan,11.8,63166.7
BMW,M4,425,3,6,MANUAL,Z,rear wheel drive,2,Midsize,Convertible,13.8,69583.3
BMW,M4 GTS,493,3,6,AUTOMATED_MANUAL,Z,rear wheel drive,2,Midsize,Coupe,14.7,133205
BMW,M5,557.3,4.4,8,AUTOMATED_MANUAL,Z,rear wheel drive,4,Large,Sedan,14.2,93533.3
BMW,M6,557.3,4.4,8,AUTOMATED_MANUAL,Z,rear wheel drive,2,Midsize,Convertible,14.2,116150
BMW,M6 GRAN COUPE,557.3,4.4,8,AUTOMATED_MANUAL,Z,rear wheel drive,4,Large,Sedan,14.3,116800
BMW,X1,244,2,4.3,AUTOMATIC,Z,all wheel drive,4,Compact,4dr SUV,10.8,34383.3
BMW,X3,240,3,4.5,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,10.7,42237.5
BMW,X4,290.7,3,5.1,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,12.2,49871.4
BMW,X5,325,3,6.5,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,12.6,60308.3
BMW,X5 M,567,4.4,8,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,14.6,98766.7
BMW,X6,348.3,3,6.7,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,13.8,66044.4
BMW,X6 M,567,4.4,8,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,14.8,102166.7
BMW,Z3,202.7,2,6,MANUAL,Z,rear wheel drive,2,Compact,Convertible,13,25358.7
BMW,Z4,291.7,2,5.3,AUTOMATED_MANUAL,Z,rear wheel drive,2,Compact,Convertible,12.4,57438.9
BMW,Z4 M,330,2,6,MANUAL,Z,rear wheel drive,2,Compact,Convertible,15.7,51250
BMW,Z8,394,2,8,MANUAL,Z,rear wheel drive,2,Compact,Convertible,19.6,129833.3
BUGATTI,VEYRON 16.4,1001,2,16,AUTOMATED_MANUAL,Z,all wheel drive,2,Compact,Coupe,29.4,1757223.7
BUICK,CASCADA,200,3,4,AUTOMATIC,Z,front wheel drive,2,Midsize,Convertible,11.8,35065
BUICK,CENTURY,175,3,6,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,13.1,21696.7
BUICK,ELECTRA,165,3,6,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,14.7,2000
BUICK,ENCLAVE,288,3.6,6,AUTOMATIC,X,front wheel drive,4,Midsize,4dr SUV,12.1,45054.7
BUICK,ENCORE,139.1,1.4,4,AUTOMATIC,X,all wheel drive,4,Compact,4dr SUV,8.5,27877.5
BUICK,ENVISION,224.5,3,4,AUTOMATIC,X,all wheel drive,4,Midsize,4dr SUV,11.3,40617.5
BUICK,ESTATE WAGON,140,4.4,8,AUTOMATIC,X,rear wheel drive,4,Large,Wagon,15.7,2000
BUICK,LACROSSE,293.3,3.6,5.8,AUTOMATIC,X,front wheel drive,4,Large,Sedan,11.9,37077
BUICK,LESABRE,205,4.4,6,AUTOMATIC,X,front wheel drive,4,Large,Sedan,13.3,29050
BUICK,LUCERNE,236.3,4.4,6.3,AUTOMATIC,X,front wheel drive,4,Large,Sedan,14.1,34554
BUICK,PARK AVENUE,222.5,4.4,6,AUTOMATIC,Z,front wheel drive,4,Large,Sedan,13.8,37714.2
BUICK,RAINIER,285.7,3,6,AUTOMATIC,X,all wheel drive,4,Midsize,4dr SUV,16.8,32945.8
BUICK,REATTA,167.5,2,6,AUTOMATIC,X,front wheel drive,2,Compact,Convertible,14.7,2000
BUICK,REGAL,249.9,2,4,AUTOMATIC,Z,front wheel drive,4,Midsize,Sedan,9.6,31872.1
BUICK,RENDEZVOUS,192,3,6,AUTOMATIC,X,front wheel drive,4,Midsize,4dr SUV,14.1,27127.5
BUICK,RIVIERA,231.2,4.4,6,AUTOMATIC,X,front wheel drive,2,Large,Coupe,14.5,2133.5
BUICK,ROADMASTER,260,4.4,8,AUTOMATIC,X,rear wheel drive,4,Large,Sedan,15.7,2044.7
BUICK,SKYLARK,152.5,3,4.5,AUTOMATIC,X,front wheel drive,3.2,Midsize,Sedan,12.5,2000
BUICK,TERRAZA,210.4,3,6,AUTOMATIC,X,front wheel drive,4,Midsize,Passenger Minivan,15.1,30005.9
BUICK,VERANO,190,2.2,4,AUTOMATIC,X,front wheel drive,4,Midsize,Sedan,9.7,24694.6
CADILLAC,ALLANTE,231.7,2,8,AUTOMATIC,X,front wheel drive,2,Compact,Convertible,17.2,2197.3
CADILLAC,ATS,286.9,2.5,4.8,AUTOMATIC,Z,rear wheel drive,4,Midsize,Sedan,9.8,42111.2
CADILLAC,ATS COUPE,296.6,2,4.9,AUTOMATIC,Z,rear wheel drive,2,Compact,Coupe,11.6,45772.1
CADILLAC,ATS-V,464,3.6,6,MANUAL,Z,rear wheel drive,3,Compact,Coupe,12.3,61680
CADILLAC,BROUGHAM,155,4.4,8,AUTOMATIC,X,rear wheel drive,4,Large,Sedan,15.7,2000
CADILLAC,CATERA,200,3,6,AUTOMATIC,X,rear wheel drive,4,Midsize,Sedan,14.7,9428.8
CADILLAC,CT6,342.4,2,5.6,AUTOMATIC,X,all wheel drive,4,Large,Sedan,9.5,66033.3
CADILLAC,CTS,314,2.8,5,AUTOMATIC,Z,rear wheel drive,4,Large,Sedan,9.9,56959.8
CADILLAC,CTS COUPE,318,3.6,6,AUTOMATIC,X,all wheel drive,2,Midsize,Coupe,11.2,44645
CADILLAC,CTS WAGON,296.2,3,6,AUTOMATIC,X,all wheel drive,4,Midsize,Wagon,13.1,45185
CADILLAC,CTS-V,612,6.2,8,AUTOMATIC,Z,rear wheel drive,4,Large,Sedan,14.1,77863.3
CADILLAC,CTS-V COUPE,556,6.2,8,MANUAL,Z,rear wheel drive,2,Midsize,Coupe,15.7,65571.7
CADILLAC,CTS-V WAGON,556,3,8,MANUAL,Z,rear wheel drive,4,Midsize,Wagon,16.8,63343.3
CADILLAC,DEVILLE,281.5,4.4,8,AUTOMATIC,X,front wheel drive,4,Large,Sedan,15,48547.5
CADILLAC,DTS,278.6,4.4,8,AUTOMATIC,Z,front wheel drive,4,Large,Sedan,15.7,51683.2
CADILLAC,ELDORADO,289.3,4.4,8,AUTOMATIC,X,front wheel drive,2,Large,Coupe,15.3,32237.7
CADILLAC,ESCALADE,420,4.4,8,AUTOMATIC,Z,four wheel drive,4,Large,4dr SUV,15.8,81037.3
CADILLAC,ESCALADE ESV,420,4.4,8,AUTOMATIC,Z,four wheel drive,4,Large,4dr SUV,15.9,84037.3
CADILLAC,ESCALADE EXT,403,4.4,8,AUTOMATIC,Z,all wheel drive,4,Large,Crew Cab Pickup,18.1,66572.2
CADILLAC,ESCALADE HYBRID,332,4.4,8,AUTOMATIC,X,four wheel drive,4,Large,4dr SUV,11.8,80522.5
CADILLAC,FLEETWOOD,260,4.4,8,AUTOMATIC,X,rear wheel drive,4,Large,Sedan,15.7,2052.7
CADILLAC,SEVILLE,285,4.4,8,AUTOMATIC,X,front wheel drive,4,Large,Sedan,14.7,47452.8
CADILLAC,SIXTY SPECIAL,200,4.4,8,AUTOMATIC,X,front wheel drive,4,Large,Sedan,15.7,2000
CADILLAC,SRX,308,3.6,6,AUTOMATIC,X,front wheel drive,4,Midsize,4dr SUV,12.3,45903.8
CADILLAC,STS,307.4,4.4,6.6,AUTOMATIC,X,rear wheel drive,4,Large,Sedan,13.8,53597.5
CADILLAC,STS-V,469,4.4,8,AUTOMATIC,Z,rear wheel drive,4,Large,Sedan,18.5,78526.7
CADILLAC,XLR,320,2,8,AUTOMATIC,X,rear wheel drive,2,Compact,Convertible,15.7,82502.9
CADILLAC,XLR-V,443,2,8,AUTOMATIC,Z,rear wheel drive,2,Compact,Convertible,17,100373.8
CADILLAC,XT5,310,3.2,6,AUTOMATIC,Z,all wheel drive,4,Midsize,4dr SUV,10.4,50010.8
CADILLAC,XTS,327.6,3.6,6,AUTOMATIC,X,all wheel drive,4,Large,Sedan,11.2,58115.6
CHEVROLET,ASTRO,190,4.4,6,AUTOMATIC,X,all wheel drive,3,Large,Passenger Minivan,18.1,25105
CHEVROLET,ASTRO CARGO,190,4.4,6,AUTOMATIC,X,all wheel drive,3,Large,Cargo Minivan,16.4,23791.7
CHEVROLET,AVALANCHE,320,4.4,8,AUTOMATIC,X,rear wheel drive,4,Large,Crew Cab Pickup,15.7,42064.7
CHEVROLET,AVEO,107.7,2,4,MANUAL,X,front wheel drive,4,Compact,4dr Hatchback,8.7,13843.3
CHEVROLET,BERETTA,140.8,3,4.7,MANUAL,X,front wheel drive,2,Midsize,Coupe,11.9,2000
CHEVROLET,BLACK DIAMOND AVALANCHE,320,4.4,8,AUTOMATIC,X,four wheel drive,4,Large,Crew Cab Pickup,15.7,41295.8
CHEVROLET,BLAZER,190,2.6,6,MANUAL,X,rear wheel drive,2.9,Compact,2dr SUV,10.1,24151.4
CHEVROLET,BOLT EV,200,2,,DIRECT_DRIVE,X,front wheel drive,4,Compact,4dr Hatchback,1.8,38762.5
CHEVROLET,C/K 1500 SERIES,205.9,4.4,6.4,MANUAL,X,four wheel drive,2,Large,Regular Cab Pickup,16.4,2902
CHEVROLET,C/K 2500 SERIES,242.5,4.4,8,MANUAL,X,rear wheel drive,2,Large,Extended Cab Pickup,18.8,3048.8
CHEVROLET,CAMARO,393.8,3.2,6.4,MANUAL,Z,rear wheel drive,2,Midsize,Coupe,10.7,38991.7
CHEVROLET,CAPRICE,225.7,4.4,8,AUTOMATIC,X,rear wheel drive,4,Large,Sedan,15.1,2000
CHEVROLET,CAPTIVA SPORT,180,3,4,AUTOMATIC,X,front wheel drive,4,Midsize,4dr SUV,11.8,26205.8
